book_name,chapter,paragraph
Bhagavad Gita,Chapter I,Resources
Bhagavad Gita,Chapter I,"by Kashinath Trimbak Telang   , words"
Bhagavad Gita,Chapter I,"Volume , The Sacred Books of the East. This part Contains the english translation of the Bhagavad-gita...."
Bhagavad Gita,Chapter I,Go directly toFootnotes.
Bhagavad Gita,Chapter I,"What did my people and thePāṇḍavasdo, O Sañjaya! when they assembled together on the holy field ofKurukṣetra, desirous to do battle?"
Bhagavad Gita,Chapter I,"Seeing the army of the Pāṇḍavas drawn up in battle-array, the prince Duryodhana approached the preceptor, and spoke these words 'O preceptor! observe this grand army of the sons of Pāṇḍu, drawn up in battle-array by your talented pupil, the son of Drupada. In it are heroes bearing large bows, the equals ofBhīmaandArjunain battle--namely, Yuyudhāna, Virāṭa, and Drupada, the master of a great car, and Dhṛṣṭaketu, Cekitāna, and the valiant king ofKāsī, Purujit and Kuntibhoja, and that eminent man Śaibya; the heroic Yudhāmanyu, the valiant Uttamaujas, the son ofSubhadrā, and the sons of Draupadī--all masters of great cars. And now, O best of Brāhmaṇas!"
Bhagavad Gita,Chapter I,"learn who are most distinguished among us, and are leaders of my army. I will name them to you, in order that you may know them well. Yourself, and Bhīṣma, andKarṇa, and Kṛpa the victor of many battles; Aśvatthāman, and Vikarṇa, and also the son of Somadatta, and many other brave men, who have given up their lives for me, who fight with various weapons, and are all dexterous in battle. Thus our army which is protected by Bhīṣma is unlimited; while this army of theirs which is protected by Bhīma is very limited. And therefore do ye all, occupying respectively the positionsassigned to you, protect Bhīṣmaonly.'"
Bhagavad Gita,Chapter I,"Then his powerful grandsire, Bhīṣma, the oldest of the Kauravas, roaring aloud like a lion, blew his conch, thereby affording delight to Duryodhana. And then all at once, conchs, and kettledrums, and tabors, and trumpets were played upon; and there was a tumultuous din. Then, too,Mādhavaand the son of Pāṇḍu Arjuna, seated in a grand chariot to which white steeds were yoked, blew their heavenly conchs. Hṛṣīkeśablew the Pāñcajanya, andDhanañjayathe Devadatta, and Bhīma, the doer of fearful deeds, blew the great conchPauṇḍra. KingYudhiṣṭhira, the son ofKuntī, blew the Anantavijaya, and Nakula andSahadevarespectivelythe Sughoṣa and Maṇipuṣpaka. And the king ofKāśī, too, who has an excellent bow, and Sikhaṇḍin, the master of a great car, and Dhṛṣṭadyumna, Virāṭa, and the unconquered Sātyaki, and Drupada, and the sons of Draupadī, and the son of Subhadrā, of mighty arms, blew conchs severally from all sides, O king of the earth! That tumultuous din rent the hearts of all the people of Dhṛtarāṣṭra's party, causing reverberations throughout heaven and earth. Then seeing the people of  Dhṛtarāṣṭra's party regularly marshalled, the son of Pāṇḍu, whose standard is the ape, raised his bow, after the discharge of missiles had commenced, and O king of the earth! spake these words to Hṛṣīkeśa 'O undegraded one! station my chariot between the two armies, while I observe those, who stand here desirous to engage in battle, and with whom, in the labours of this struggle, I must do battle. I will observe those who are assembled here and who are about to engage in battle, wishing to do service in battleto the evil-minded son of Dhṛtarāṣṭra.'"
Bhagavad Gita,Chapter I,"Thus addressed by Guḍākeśa, O descendant of Bharata! Hṛṣīkeśa stationed that excellent chariot between the two armies, in front of Bhīṣma andDroṇaand of all the kings of the earth, andsaid O son of Pṛthā! look at these assembled Kauravas.' There the son of Pṛthā saw in both armies, fathers and grandfathers, preceptors, maternal uncles, brothers, sons, grandsons, companions, fathers-in-law, as well as friends. And seeing all those kinsmen standing there, the son of Kuntī was overcome by excessive pity, and spake thus despondingly."
Bhagavad Gita,Chapter I,"Seeing these kinsmen, OKṛṣṇa! standing here desirous to engage in battle, my limbs droop down; my mouth is quite dried up; a tremor comes on my body; and my hairs stand on end; the Gāṇḍīva bow slips from my hand; my skin burns intensely. I am unable, too, to stand up; my mind whirls round, as it were; O Keśava! I see adverse omens; and I do not perceive any good to accrue after killing my kinsmen in the battle. I do not wish for victory, O Kṛṣṇa! nor sovereignty, nor pleasures what is sovereignty to us, OGovinda! what enjoyments, and even life? Even those, for whose sake we desire sovereignty, enjoyments, and pleasures, are standing here for battle, abandoning life and wealth-preceptors, fathers, sons as well as grandfathers, maternal uncles, fathers-in-law, grandsons, brothers-in-law, as also other relatives. These I do not wish to kill, though they kill me, O destroyer of Madhu! even for the sake of sovereignty over the three worlds, how much less then for this earthalone? What joy shall be ours, OJanārdana! after killing Dhṛtarāṣṭra's sons? Killing these felonswe shall only incur sin. Therefore it is not proper for us to kill our own kinsmen, the sons of Dhṛtarāṣṭra. For how, O Mādhava! shall we be happy after killing our own relatives? Although having their consciences corrupted by avarice, they do not see the evils flowing from the extinction of a family, and the sin in treachery to friends, still, O Ganārdana! should not we, who do see the evils flowing from the extinction of a family, learn to refrain from that sin? On the extinction of a family, the eternal rites of families are destroyed. Those rites being destroyed, impiety predominates over the whole family. In consequence of the predominance of impiety, O Kṛṣṇa! the women of the family become corrupt; and the women becoming corrupt, O descendant of Vṛṣṇi! intermingling of castes results; that intermingling necessarily leads the family and the destroyers of the family to hell; for when the ceremonies of offering the balls of food and water to them fail, their ancestors fall down to hell. By these transgressions of the destroyers of families, which occasion interminglings of castes, the eternal rites of castes and rites, of families aresubverted. And O Janārdana! we have heard that men whose family-rites are subverted, must necessarily live in hell. Alas! we are engaged in committing a heinous sin, seeing that we are making efforts for killing our own kinsmen out of greed of the pleasures of sovereignty. If the sons of Dhṛtarāṣṭra, weapon in hand, should kill me in battle, me weaponless and not defending myself, that would be better for me."
